pairIdx	index	syn1	syn2	DiachrD1	DiachrD2	DiachrDG1	DiachrDG2	DiachrDG_avg	DiachrDG_avgstd	FO1	FO2	FE1	FE2	EnoughFreq	FGO1	FGO2	FGE1	FGE2	FEvol1	FEvol2	WNpressure_1	WNpressure_2	WNsenses_1	WNsenses_2	SDO	SDE	Div	SDGO	SDGE	Dec_avg	Dec_avgstd
638	1396	contribute	lend	0.7654320987654322	0.7878787878787878	low	low			50	90	183	77	True	2	3	3	2	1	-1	11	6	4	3	0.81404296	0.86557947	0.051536510000000035	mid	mid	LD	LPC
639	1469	contrive	cast	0.9583333333333334	0.8235294117647058	avgstd	low	s1	s1	18	23	3	112	False	1	1	0	3	-1	2	10	47	3	11	0.8851199	0.99342024	0.10830034	mid	far	LD	LD
640	1267	contrive	devise	0.9583333333333334	0.7730061349693251	avgstd	low	s1	s1	18	18	3	21	False	1	1	0	1	-1	0	10	10	3	3	0.88851854	0.86201814	-0.02650039999999998	mid	mid	LPC	LPC
641	1390	contrive	formulate	0.9583333333333334	0.6666666666666667	avgstd	low	s1	s1	18	6	3	12	False	1	0	0	1	-1	1	10	11	3	4	0.49288945	0.70347656	0.21058711000000002	close	mid	LD	LD
642	904	contrive	invent	0.9583333333333334	0.8235294117647058	avgstd	low	s1	s1	18	14	3	37	False	1	1	0	2	-1	1	10	9	3	2	0.65633286	0.70485927	0.04852641000000002	mid	mid	LD	LPC
643	1660	contrive	throw	0.9583333333333334	0.7577639751552795	avgstd	low	s1	s1	18	82	3	137	False	1	3	0	3	-1	0	10	26	3	15	0.93210036	1.1196418	0.18754143999999995	far	far	LD	LD
644	2301	converge	meet	0.8700564971751412	0.75	avg	low	s1		13	22	39	57	True	1	1	2	2	1	1	1	24	4	11	0.77748994	0.88470883	0.10721888999999996	mid	mid	LD	LD
645	917	convey	bring	0.7730061349693251	0.6842105263157895	low	low			46	1148	63	1446	True	2	3	2	3	0	0	11	16	7	11	0.88913879	0.85795647	-0.031182319999999986	mid	mid	LPC	LPC
646	144	convey	carry	0.7730061349693251	0.6928104575163399	low	low			46	444	63	715	True	2	3	2	3	0	0	11	27	7	40	0.69442413	0.81070058	0.11627644999999998	mid	mid	LD	LD
647	1482	convey	communicate	0.7730061349693251	0.8571428571428572	low	avg	s2		46	18	63	73	True	2	1	2	2	0	1	11	8	7	7	0.76727896	0.76293888	-0.004340079999999968	mid	mid	LD	LPC
648	2869	convey	fetch	0.7730061349693251	0.7878787878787878	low	low			46	96	63	53	True	2	3	2	2	0	-1	11	4	7	3	0.64262988	0.68157354	0.03894366000000005	mid	mid	LD	LPC
649	2717	convey	get	0.7730061349693251	0.6301369863013699	low	low			46	2654	63	10187	True	2	3	2	3	0	0	11	69	7	36	0.82699699	0.74481557	-0.08218142000000006	mid	mid	LPC	LPC
650	244	convey	impart	0.7730061349693251	0.8764044943820225	low	avg	s2		46	14	63	14	True	2	1	2	1	0	0	11	13	7	3	0.71088982	0.84829516	0.13740534000000004	mid	mid	LD	LD
651	1311	convey	take	0.7730061349693251	0.7096774193548387	low	low			46	35	63	115	True	2	2	2	3	0	1	11	65	7	42	0.8496726	0.79950072	-0.050171879999999947	mid	mid	LPC	LPC
